RefDes,Block,Pin,Net,Notes
U3,TMC2209_DEVBOARD_2x08,DIR,DIR_J2,
U3,TMC2209_DEVBOARD_2x08,EN,EN_ALL,
U3,TMC2209_DEVBOARD_2x08,PDN_UART,PDN_J2,
U3,TMC2209_DEVBOARD_2x08,VIO,+3V3_LOGIC,
U3,TMC2209_DEVBOARD_2x08,VMOT,+24V_MOTOR,
U3,TMC2209_DEVBOARD_2x08,GND,GND,
U3,TMC2209_DEVBOARD_2x08,OA1,J2_MOTOR_PIN1,
U3,TMC2209_DEVBOARD_2x08,OA2,J2_MOTOR_PIN2,
U3,TMC2209_DEVBOARD_2x08,OB1,J2_MOTOR_PIN3,
U3,TMC2209_DEVBOARD_2x08,OB2,J2_MOTOR_PIN4,

U4,TMC2209_DEVBOARD_2x08,STEP,STEP_J3,
U4,TMC2209_DEVBOARD_2x08,DIR,DIR_J3,
U4,TMC2209_DEVBOARD_2x08,EN,EN_ALL,
U4,TMC2209_DEVBOARD_2x08,PDN_UART,PDN_J3,
U4,TMC2209_DEVBOARD_2x08,VIO,+3V3_LOGIC,
U4,TMC2209_DEVBOARD_2x08,VMOT,+24V_MOTOR,
U4,TMC2209_DEVBOARD_2x08,GND,GND,
U4,TMC2209_DEVBOARD_2x08,OA1,J3_MOTOR_PIN1,
U4,TMC2209_DEVBOARD_2x08,OA2,J3_MOTOR_PIN2,
U4,TMC2209_DEVBOARD_2x08,OB1,J3_MOTOR_PIN3,
U4,TMC2209_DEVBOARD_2x08,OB2,J3_MOTOR_PIN4,

U5,TMC2209_DEVBOARD_2x08,STEP,STEP_J4,
U5,TMC2209_DEVBOARD_2x08,DIR,DIR_J4,
U5,TMC2209_DEVBOARD_2x08,EN,EN_ALL,
U5,TMC2209_DEVBOARD_2x08,PDN_UART,PDN_J4,
U5,TMC2209_DEVBOARD_2x08,VIO,+3V3_LOGIC,
U5,TMC2209_DEVBOARD_2x08,VMOT,+24V_MOTOR,
U5,TMC2209_DEVBOARD_2x08,GND,GND,
U5,TMC2209_DEVBOARD_2x08,OA1,J4_MOTOR_PIN1,
U5,TMC2209_DEVBOARD_2x08,OA2,J4_MOTOR_PIN2,
U5,TMC2209_DEVBOARD_2x08,OB1,J4_MOTOR_PIN3,
U5,TMC2209_DEVBOARD_2x08,OB2,J4_MOTOR_PIN4,

J1_MOTOR,JST6_STEPPER_4USED,1,J1_MOTOR_PIN1,COIL_A+
J1_MOTOR,JST6_STEPPER_4USED,2,J1_MOTOR_PIN2,COIL_A-
J1_MOTOR,JST6_STEPPER_4USED,3,J1_MOTOR_PIN3,COIL_B+
J1_MOTOR,JST6_STEPPER_4USED,4,J1_MOTOR_PIN4,COIL_B-
J1_MOTOR,JST6_STEPPER_4USED,5,NC,No connect
J1_MOTOR,JST6_STEPPER_4USED,6,NC,No connect

J2_MOTOR,JST6_STEPPER_4USED,1,J2_MOTOR_PIN1,COIL_A+
J2_MOTOR,JST6_STEPPER_4USED,2,J2_MOTOR_PIN2,COIL_A-
J2_MOTOR,JST6_STEPPER_4USED,3,J2_MOTOR_PIN3,COIL_B+
J2_MOTOR,JST6_STEPPER_4USED,4,J2_MOTOR_PIN4,COIL_B-
J2_MOTOR,JST6_STEPPER_4USED,5,NC,No connect
J2_MOTOR,JST6_STEPPER_4USED,6,NC,No connect

J3_MOTOR,JST6_STEPPER_4USED,1,J3_MOTOR_PIN1,COIL_A+
J3_MOTOR,JST6_STEPPER_4USED,2,J3_MOTOR_PIN2,COIL_A-
J3_MOTOR,JST6_STEPPER_4USED,3,J3_MOTOR_PIN3,COIL_B+
J3_MOTOR,JST6_STEPPER_4USED,4,J3_MOTOR_PIN4,COIL_B-
J3_MOTOR,JST6_STEPPER_4USED,5,NC,No connect
J3_MOTOR,JST6_STEPPER_4USED,6,NC,No connect

J4_MOTOR,JST6_STEPPER_4USED,1,J4_MOTOR_PIN1,COIL_A+
J4_MOTOR,JST6_STEPPER_4USED,2,J4_MOTOR_PIN2,COIL_A-
J4_MOTOR,JST6_STEPPER_4USED,3,J4_MOTOR_PIN3,COIL_B+
J4_MOTOR,JST6_STEPPER_4USED,4,J4_MOTOR_PIN4,COIL_B-
J4_MOTOR,JST6_STEPPER_4USED,5,NC,No connect
J4_MOTOR,JST6_STEPPER_4USED,6,NC,No connect

J_SERVO1,JST3_SERVO,1,GND,
J_SERVO1,JST3_SERVO,2,+6V6_SERVO,
J_SERVO1,JST3_SERVO,3,SERVO_WRIST_PITCH,
J_SERVO2,JST3_SERVO,1,GND,
J_SERVO2,JST3_SERVO,2,+6V6_SERVO,
J_SERVO2,JST3_SERVO,3,SERVO_WRIST_YAW,
J_SERVO3,JST3_SERVO,1,GND,
J_SERVO3,JST3_SERVO,2,+6V6_SERVO,
J_SERVO3,JST3_SERVO,3,SERVO_GRIPPER,

H_UART1,HDR_1x04_UART,1,GND,
H_UART1,HDR_1x04_UART,2,UART_LEADER_RX,
H_UART1,HDR_1x04_UART,3,UART_LEADER_TX,
H_UART1,HDR_1x04_UART,4,+3V3_LOGIC,Optional

H_SD1,HDR_1x06_SD_SPI,1,+3V3_LOGIC,
H_SD1,HDR_1x06_SD_SPI,2,GND,
H_SD1,HDR_1x06_SD_SPI,3,SD_SCK,
H_SD1,HDR_1x06_SD_SPI,4,SD_MISO,
H_SD1,HDR_1x06_SD_SPI,5,SD_MOSI,
H_SD1,HDR_1x06_SD_SPI,6,SD_CS,

J_PWR1,MAIN_POWER_IN_24V,1,+24V_MOTOR,24V input
J_PWR1,MAIN_POWER_IN_24V,2,GND,Power return

TP1,TESTPOINT,1,TP_EN_ALL,Optional debug
TP2,TESTPOINT,1,TP_PDN_J1,Optional debug
TP3,TESTPOINT,1,TP_PDN_J2,Optional debug
TP4,TESTPOINT,1,TP_PDN_J3,Optional debug
TP5,TESTPOINT,1,TP_PDN_J4,Optional debug
TP6,TESTPOINT,1,TP_UART_RX,Optional debug
TP7,TESTPOINT,1,TP_UART_TX,Optional debug
